Ref,Val,Package,PosX,PosY,Rot,Side
"C1",".1µF","C_Disc_D6.0mm_W2.5mm_P5.00mm",168.500000,-100.500000,-90.000000,top
"C2",".1µF","C_Disc_D6.0mm_W2.5mm_P5.00mm",149.000000,-67.500000,-90.000000,top
"J1","I2C","PinHeader_1x04_P2.54mm_Vertical",163.420000,-66.500000,90.000000,top
"J2","UART_{OUT}","PinHeader_1x03_P2.54mm_Vertical",154.000000,-72.525000,180.000000,top
"J3","CoCo KB","PinHeader_1x16_P2.54mm_Vertical",174.500000,-77.180000,0.000000,top
"J4","Power","PinHeader_1x02_P2.54mm_Vertical",166.500000,-73.960000,0.000000,top
"LOGO","tbk-logo","tbk-logo",121.000000,-80.000000,0.000000,top
"Q1","BSS138","SOT-23",139.837500,-111.225000,0.000000,top
"Q2","BSS138","SOT-23",139.837500,-107.275000,0.000000,top
"Q3","BSS138","SOT-23",139.837500,-103.225000,0.000000,top
"Q4","BSS138","SOT-23",139.837500,-99.225000,0.000000,top
"Q5","BSS138","SOT-23",139.837500,-95.175000,0.000000,top
"Q6","BSS138","SOT-23",139.837500,-91.175000,0.000000,top
"Q7","BSS138","SOT-23",139.837500,-87.175000,0.000000,top
"Q8","BSS138","SOT-23",139.837500,-83.175000,0.000000,top
"Q9","BSS138","SOT-23",139.837500,-79.175000,0.000000,top
"R1","10K","R_0603_1608Metric",136.775000,-111.275000,-90.000000,top
"R2","10K","R_0603_1608Metric",142.900000,-110.275000,-90.000000,top
"R3","10K","R_0603_1608Metric",136.775000,-107.225000,-90.000000,top
"R4","10K","R_0603_1608Metric",142.900000,-106.268750,-90.000000,top
"R5","10K","R_0603_1608Metric",136.775000,-103.225000,-90.000000,top
"R6","10K","R_0603_1608Metric",142.900000,-102.262500,-90.000000,top
"R7","10K","R_0603_1608Metric",136.775000,-99.225000,-90.000000,top
"R8","10K","R_0603_1608Metric",142.900000,-98.256250,-90.000000,top
"R9","10K","R_0603_1608Metric",136.775000,-95.225000,-90.000000,top
"R10","10K","R_0603_1608Metric",142.900000,-94.250000,-90.000000,top
"R11","10K","R_0603_1608Metric",136.775000,-91.225000,-90.000000,top
"R12","10K","R_0603_1608Metric",142.900000,-90.243750,-90.000000,top
"R13","10K","R_0603_1608Metric",136.775000,-87.225000,-90.000000,top
"R14","10K","R_0603_1608Metric",136.775000,-83.225000,-90.000000,top
"R15","10K","R_0603_1608Metric",136.775000,-79.225000,-90.000000,top
"R16","10K","R_0603_1608Metric",142.900000,-86.237500,-90.000000,top
"R17","10K","R_0603_1608Metric",142.900000,-82.231250,-90.000000,top
"R18","10K","R_0603_1608Metric",142.900000,-78.225000,-90.000000,top
"R19","330","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",156.000000,-77.500000,180.000000,top
"U1","Pico","RPi_Pico_SMD_TH",120.775000,-91.000000,180.000000,top
"U2","6N137","DIP-8_W7.62mm_Socket_LongPads",137.500000,-66.420000,0.000000,top
"U3","MT8808","DIP-28_W15.24mm_Socket_LongPads",147.760000,-82.480000,0.000000,top
